,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
97,7,Berry Hollow,Diane,Griffiths,34,Head,Married,Female,"Scientist, biomedical",None,Catholic
98,7,Berry Hollow,Brian,Griffiths,29,Husband,Married,Male,"Journalist, newspaper",None,Catholic
99,7,Berry Hollow,Maureen,Griffiths,3,Daughter,NA,Female,Child,None,NA
100,7,Berry Hollow,Stanley,Griffiths,0,Son,NA,Male,Child,None,NA
101,8,Berry Hollow,Lisa,Coates,46,Head,Married,Female,Pathologist,None,Catholic
102,8,Berry Hollow,Mitchell,Coates,50,Husband,Married,Male,Patent attorney,None,Catholic
103,8,Berry Hollow,Toby,Coates,22,Son,Single,Male,University Student,None,None
104,8,Berry Hollow,Eleanor,Coates,5,Daughter,NA,Female,Student,None,NA
105,9,Berry Hollow,Leanne,McDonald,84,Head,Married,Female,Retired Transport planner,None,Christian
106,9,Berry Hollow,Dylan,McDonald,81,Husband,Married,Male,Retired Catering manager,None,Christian
107,10,Berry Hollow,Linda,Hunter,64,Head,Married,Female,Early years teacher,None,Catholic
108,10,Berry Hollow,Mohammad,Hunter,64,Husband,Married,Male,"Engineer, maintenance",None,None
109,10,Berry Hollow,Billy,Hunter,24,Grandson,Single,Male,"Lighting technician, broadcasting/film/video",None,Catholic
110,10,Berry Hollow,Allan,Dawson-Hunter,20,Grandson,Single,Male,Gaffer,None,Catholic
111,10,Berry Hollow,Stuart,Dixon,19,Grandson,Single,Male,University Student,None,None
112,10,Berry Hollow,Conor,Freeman,13,Grandson,NA,Male,Student,None,NA
113,11,Berry Hollow,Ross,Jones,31,Head,Single,Male,"Geologist, wellsite",None,None
114,12,Berry Hollow,Antony,Smith,32,Head,Single,Male,Financial risk analyst,None,None
115,12,Berry Hollow,Nicholas,Chapman,10,Step-Son,NA,Male,Student,None,NA
116,13,Berry Hollow,Leanne,Lawrence,72.96085149,Head,Married,Female,Retired Ship broker,None,Christian
117,13,Berry Hollow,Hugh,Lawrence,70.96085149,Husband,Married,Male,Retired Minerals surveyor,None,None
118,13,Berry Hollow,Hannah,Lawrence,26,Daughter,Single,Female,"Surveyor, minerals",None,Christian
119,13,Berry Hollow,Susan,Lawrence,17,Daughter,NA,Female,Student,None,NA
120,14,Berry Hollow,Marion,Mann,50,Head,Single,Female,"Scientist, research (medical)",None,Catholic
121,14,Berry Hollow,Jason,Mann,15,Son,NA,Male,Student,None,NA
122,14,Berry Hollow,Pamela,Mann,13,Daughter,NA,Female,Student,None,NA
123,14,Berry Hollow,Clifford,Mann,3,Son,NA,Male,Child,None,NA
124,14,Berry Hollow,Jodie,Mann,3,Daughter,NA,Female,Child,None,NA
125,14,Berry Hollow,Jenna,Adams,56,Lodger,Divorced,Female,Statistician,None,Christian
126,15,Berry Hollow,Alexandra,Griffiths,65,Head,Married,Female,Naval architect,None,Methodist
127,15,Berry Hollow,Mohamed,Griffiths-Matthews,66,Husband,Married,Male,TEFL teacher,None,Methodist
128,15,Berry Hollow,Sara,Griffiths-Matthews,44,Daughter,Divorced,Female,Exercise physiologist,None,None
129,15,Berry Hollow,Henry,Griffiths-Matthews,40,Son,Divorced,Male,"Psychologist, occupational",None,None
130,16,Berry Hollow,Wendy,Newman,69,Head,Married,Female,Retired Private music teacher,None,Christian
131,16,Berry Hollow,Alex,Newman,73,Husband,Married,Male,Retired Electrical engineer,None,None
132,16,Berry Hollow,Denis,Newman,27,Son,Single,Male,Food technologist,None,Christian
133,16,Berry Hollow,Martin,Newman,24,Son,Single,Male,"Geneticist, molecular",None,None
134,16,Berry Hollow,Ellie,Newman,22,Daughter,Divorced,Female,University Student,None,None
135,16,Berry Hollow,Glenn,Newman,5,Son,NA,Male,Student,None,NA
136,17,Berry Hollow,Jasmine,Wilkinson,39,Head,Single,Female,Child psychotherapist,None,None
137,17,Berry Hollow,Jack,Wilkinson,14,Son,NA,Male,Student,None,NA
138,17,Berry Hollow,Nicola,Wilkinson,13,Daughter,NA,Female,Student,None,NA
139,17,Berry Hollow,Anne,Wilkinson,9,Daughter,NA,Female,Student,None,NA
140,18,Berry Hollow,Gillian,West,34,Head,Married,Female,Industrial buyer,None,None
141,18,Berry Hollow,Julian,West,33,Husband,Married,Male,Actuary,None,None
142,18,Berry Hollow,Tom,West,8,Son,NA,Male,Student,None,NA
143,18,Berry Hollow,Vanessa,West,4,Daughter,NA,Female,Child,None,NA
144,19,Berry Hollow,Annette,Lamb,52,Head,Married,Female,Primary school teacher,None,None
145,19,Berry Hollow,Steven,Lamb,54,Husband,Married,Male,Unemployed,None,None
146,19,Berry Hollow,Abbie,Lamb,21,Daughter,Single,Female,University Student,None,None
147,19,Berry Hollow,Patricia,Lamb,17,Daughter,NA,Female,Student,None,NA
148,20,Berry Hollow,June,Jarvis,68,Head,Single,Female,Unemployed,None,None
149,20,Berry Hollow,Eileen,Jarvis,43,Daughter,Single,Female,Claims inspector/assessor,None,None
150,20,Berry Hollow,Gavin,Jarvis,43,Son,Single,Male,Chiropodist,None,None
151,20,Berry Hollow,Brandon,Jarvis,42,Son,Divorced,Male,Educational psychologist,None,None
152,21,Berry Hollow,Elizabeth,Jordan,31,Head,Widowed,Female,"Engineer, manufacturing",None,Methodist
153,22,Berry Hollow,Scott,Clark,83,Head,Widowed,Male,Retired Information systems manager,None,Christian
154,23,Berry Hollow,Kate,Hussain,55,Head,Married,Female,"Designer, industrial/product",None,Christian
155,23,Berry Hollow,Bernard,Hussain,58,Husband,Married,Male,"Investment banker, operational",None,None
156,23,Berry Hollow,Michael,Hussain,24,Son,Single,Male,"Accountant, chartered certified",None,None
157,23,Berry Hollow,Margaret,Hussain,0,Daughter,NA,Female,Child,None,NA
158,24,Berry Hollow,Katie,Jennings,32,Head,Widowed,Female,Dietitian,None,Methodist
159,24,Berry Hollow,Laura,Jennings,8,Daughter,NA,Female,Student,None,NA
160,24,Berry Hollow,Diane,Jennings,5,Daughter,NA,Female,Student,None,NA
161,24,Berry Hollow,Rachael,Jennings,5,Daughter,NA,Female,Student,None,NA
162,25,Berry Hollow,Sarah,Tomlinson,46,Head,Married,Female,Music tutor,None,None
163,25,Berry Hollow,Declan,Tomlinson,51,Husband,Married,Male,Mudlogger,None,None
164,25,Berry Hollow,Tracy,Tomlinson,21,Daughter,Single,Female,University Student,None,None
165,25,Berry Hollow,Barry,Tomlinson,19,Adopted Son,Single,Male,Lexicographer,None,None
166,25,Berry Hollow,Josh,Tomlinson,16,Son,NA,Male,Student,None,NA
167,26,Berry Hollow,Matthew,Fuller,59,Head,Married,Male,Environmental consultant,None,Christian
168,26,Berry Hollow,Angela,Fuller,57,Wife,Married,Female,Child psychotherapist,None,Christian
169,26,Berry Hollow,Roy,Fuller,31,Son,Single,Male,Advice worker,None,None
170,26,Berry Hollow,Lynda,Fuller,28,Daughter,Single,Female,"Education officer, environmental",None,Christian
171,27,Berry Hollow,Sarah,Matthews,38,Head,Married,Female,"Doctor, general practice",None,None
172,27,Berry Hollow,Liam,Matthews,41,Husband,Married,Male,Jewellery designer,None,None
173,27,Berry Hollow,Mohamed,Matthews,4,Nephew,NA,Male,Child,None,NA
174,27,Berry Hollow,Frederick,Matthews,1,Nephew,NA,Male,Child,None,NA
175,28,Berry Hollow,Billy,Bradshaw,22,Head,Divorced,Male,University Student,None,None
176,28,Berry Hollow,Norman,Bartlett,42,Lodger,Single,Male,Unemployed,None,None
177,28,Berry Hollow,Frederick,Hunter,44,Cousin,Single,Male,Exercise physiologist,None,Methodist
178,28,Berry Hollow,Patrick,Foster,44,Lodger,Divorced,Male,"Exhibitions officer, museum/gallery",None,Catholic
179,28,Berry Hollow,Julia,Reynolds,62,Lodger,Single,Female,Manufacturing engineer,None,Christian
180,29,Berry Hollow,Eleanor,Ball,42,Head,Married,Female,Fitness centre manager,None,Catholic
181,29,Berry Hollow,Mark,Ball,48,Husband,Married,Male,Amenity horticulturist,None,Catholic
182,29,Berry Hollow,Shannon,Ball,9,Daughter,NA,Female,Student,None,NA
183,30,Berry Hollow,Rachael,Carter,74,Head,Married,Female,Retired Data processing manager,None,None
184,30,Berry Hollow,Mitchell,Carter,80,Husband,Married,Male,Retired Facilities manager,None,None
185,30,Berry Hollow,Danielle,Carter,35,Daughter,Single,Female,Broadcast engineer,None,None
186,31,Berry Hollow,Lauren,Walsh,23,Head,Married,Female,Health physicist,None,None
187,31,Berry Hollow,Rebecca,Walsh,25,Wife,Married,Female,Advertising copywriter,None,None
188,31,Berry Hollow,Bruce,Smith,41,Lodger,Single,Male,Unemployed,None,None
189,31,Berry Hollow,Louise,Skinner,58,Lodger,Single,Female,Translator,None,Christian
190,32,Berry Hollow,Thomas,Johnson,53,Head,Married,Male,Training and development officer,None,Christian
191,32,Berry Hollow,Sarah,Johnson,51,Wife,Married,Female,Administrator,None,Christian
192,32,Berry Hollow,Claire,Johnson,6,Daughter,NA,Female,Student,None,NA
193,32,Berry Hollow,Katy,Johnson,5,Daughter,NA,Female,Student,None,NA
194,32,Berry Hollow,Nicola,Johnson,4,Adopted Daughter,NA,Female,Child,None,NA
195,32,Berry Hollow,Frances,Johnson,0,Daughter,NA,Female,Child,None,NA
196,33,Berry Hollow,Maureen,Cross,43,Head,Married,Female,Tax adviser,None,Jewish
197,33,Berry Hollow,Antony,Cross,45,Husband,Married,Male,"Psychologist, counselling",None,None
198,33,Berry Hollow,Clive,Cross,10,Son,NA,Male,Student,None,NA
199,34,Berry Hollow,Marion,McKenzie,46,Head,Single,Female,"Engineer, manufacturing",None,None
200,34,Berry Hollow,Dennis,Schofield,52,Partner,Single,Male,Chartered certified accountant,None,None
201,34,Berry Hollow,Suzanne,McKenzie,17,Daughter,NA,Female,Student,None,NA
202,34,Berry Hollow,Janet,McKenzie,14,Daughter,NA,Female,Student,None,NA
203,35,Berry Hollow,Caroline,Barker,61,Head,Divorced,Female,Unemployed,None,Christian
204,35,Berry Hollow,Max,Barker,14,Son,NA,Male,Student,None,NA
205,35,Berry Hollow,Alexandra,Barker,11,Daughter,NA,Female,Student,None,NA
206,35,Berry Hollow,Anna,Cooke-Barker,9,Daughter,NA,Female,Student,None,NA
207,36,Berry Hollow,Emily,Berry,44,Head,Single,Female,Unemployed,None,None
208,36,Berry Hollow,Philip,Berry,14,Son,NA,Male,Student,None,NA
209,36,Berry Hollow,Terry,Berry,10,Son,NA,Male,Student,None,NA
210,36,Berry Hollow,Francesca,Berry,8,Daughter,NA,Female,Student,None,NA
211,36,Berry Hollow,Hollie,Berry,2,Daughter,NA,Female,Child,None,NA
212,37,Berry Hollow,Ricky,Wallis,50,Head,Single,Male,Art gallery manager,None,None
213,38,Berry Hollow,Lindsey,Dickinson,33,Head,Married,Female,Ceramics designer,None,None
214,38,Berry Hollow,Marcus,Dickinson,38,Husband,Married,Male,"Scientist, water quality",None,None
215,38,Berry Hollow,Emma,Dickinson,8,Daughter,NA,Female,Student,None,NA
216,38,Berry Hollow,Duncan,Dickinson,3,Son,NA,Male,Child,None,NA
217,39,Berry Hollow,Melanie,Dodd,51,Head,Divorced,Female,Unemployed,None,Christian
218,39,Berry Hollow,Russell,Dodd,7,Son,NA,Male,Student,None,NA
219,39,Berry Hollow,Jeremy,Dodd,1,Son,NA,Male,Child,None,NA
220,39,Berry Hollow,James,Gardner,45,Lodger,Single,Male,Geophysicist/field seismologist,None,Catholic
221,40,Berry Hollow,Louise,Bailey,57,Head,Single,Female,Media planner,None,None
222,40,Berry Hollow,Lewis,Brennan,59,Partner,Single,Male,"Engineer, production",None,None
223,40,Berry Hollow,Liam,Bailey,24,Son,Divorced,Male,Broadcast engineer,None,None
224,40,Berry Hollow,Clifford,Bailey,15,Son,NA,Male,Student,None,NA
225,41,Berry Hollow,Barbara,Kelly,55,Head,Single,Female,Travel agency manager,None,None
226,41,Berry Hollow,Gordon,Smith,57,Partner,Single,male,"Therapist, art",None,None
227,42,Berry Hollow,Ellie,Francis,21,Head,Single,Female,University Student,None,Methodist
228,42,Berry Hollow,Robert,Webb,20,None,Single,Male,University Student,None,None
229,42,Berry Hollow,Max,Price,22,None,Single,Male,University Student,None,Methodist
230,42,Berry Hollow,Joshua,Marshall,18,None,Single,Male,University Student,None,None
231,43,Berry Hollow,Annette,Elliott,68,Head,Married,Female,Retired Forest/woodland manager,None,None
232,43,Berry Hollow,Samuel,Elliott,69,Husband,Married,Male,Retired Newspaper journalist,None,None
233,44,Berry Hollow,Pamela,Harper,42,Head,Married,Female,"Chemist, analytical",None,Christian
234,44,Berry Hollow,Charles,Harper,44,Husband,Married,Male,Publishing copy,None,Christian
235,44,Berry Hollow,Craig,Harper,20,Son,Single,Male,Unemployed,None,Christian
236,44,Berry Hollow,Ross,Harper,19,Son,Divorced,Male,University Student,None,Christian
237,45,Berry Hollow,Bruce,Richardson,57,Head,Single,Male,Set designer,None,Catholic
238,45,Berry Hollow,Abdul,Watts,33,None,Single,Male,"Surveyor, building control",None,None
239,45,Berry Hollow,Danielle,Thompson,41,None,Single,f,Plant breeder/geneticist,None,Christian
240,45,Berry Hollow,Eric,Green,39,None,Single,Male,"Therapist, occupational",None,Christian
241,46,Berry Hollow,Gillian,Lawrence,57,Head,Single,Female,Agricultural consultant,None,Christian
242,46,Berry Hollow,Harry,Lawrence,36,Son,Single,Male,Environmental consultant,None,Christian
243,46,Berry Hollow,Conor,Lawrence,30,Son,Single,Male,Insurance underwriter,None,Christian
244,47,Berry Hollow,Sylvia,Miller,71,Head,Married,Female,Retired Radiation protection practitioner,None,None
245,47,Berry Hollow,Martin,Campbell,70,Husband,Married,Male,Retired Operational investment banker,None,None
246,47,Berry Hollow,Jake,Miller,40,Son,Single,Male,Drilling engineer,None,None
247,47,Berry Hollow,Darren,Miller,39,Son,Divorced,Male,Unemployed,None,None
248,47,Berry Hollow,Damien,Miller,28,Son,Single,Male,"Scientist, biomedical",None,None
249,47,Berry Hollow,Sara,Miller,24,Daughter,Divorced,Female,Tourism officer,None,None
250,47,Berry Hollow,Donald,Miller,22,Son,Divorced,Male,University Student,None,None
251,48,Berry Hollow,Patricia,Welch,56,Head,Single,Female,Field seismologist,None,Christian
252,49,Berry Hollow,Robin,Burns,34,Head,Single,Male,"Engineer, drilling",None,Christian
253,49,Berry Hollow,Naomi,Begum,30,Partner,Single,Female,Occupational hygienist,None,Christian
254,50,Berry Hollow,Janet,Stevenson,48,Head,Single,Female,"Designer, textile",None,None
255,50,Berry Hollow,Heather,Stevenson,28,Daughter,Single,Female,Chartered public finance accountant,None,None
256,50,Berry Hollow,Gregory,Stevenson,27,Son,Single,Male,Restaurant manager,None,None
257,50,Berry Hollow,Alan,Stevenson,20,Son,Single,Male,University Student,None,None
258,51,Berry Hollow,Henry,Moore,21,Head,Married,Male,University Student,None,None
259,51,Berry Hollow,Pauline,Moore,19,Wife,Married,Female,University Student,None,None
260,51,Berry Hollow,Lawrence,Moore,2,Son,NA,Male,Child,None,NA
261,51,Berry Hollow,Christine,Moore,0,Daughter,NA,Female,Child,None,NA
262,51,Berry Hollow,Carly,Bowen,36,Lodger,Single,Female,Water engineer,None,Christian
263,52,Berry Hollow,Denise,Williams,53,Head,Married,Female,"Therapist, horticultural",None,Christian
264,52,Berry Hollow,Norman,Williams,54,Husband,Married,Male,Public relations account executive,None,Christian
265,52,Berry Hollow,Steven,Williams,18,Son,Single,Male,Student,None,Christian
266,53,Berry Hollow,Emily,Harris,74,Head,Divorced,Female,Retired Communications engineer,None,None
267,54,Berry Hollow,Trevor,Joyce,66,Head,Widowed,Male,Financial planner,None,Methodist
268,55,Berry Hollow,Tracy,Matthews,59,Head,Married,Female,Technical sales engineer,None,Catholic
269,55,Berry Hollow,Dennis,Matthews,64,Husband,Married,Male,Pension scheme manager,None,Catholic
270,55,Berry Hollow,Mary,Matthews,15,Daughter,NA,Female,Student,None,NA
271,56,Berry Hollow,Lucy,Goodwin,42,Head,Married,Female,Print production planner,None,Muslim
272,56,Berry Hollow,Neil,Goodwin,47,Husband,Married,Male,Best boy,None,None
273,56,Berry Hollow,Maurice,Goodwin,8,Son,NA,Male,Student,None,NA
274,56,Berry Hollow,Brett,Goodwin,5,Son,NA,Male,Student,None,NA
275,57,Berry Hollow,Paige,Brookes,46,Head,Divorced,Female,Unemployed,None,Methodist
276,57,Berry Hollow,Declan,Brookes,23,Son,Single,Male,Engineering geologist,None,Methodist
277,57,Berry Hollow,Sharon,Brookes,19,Daughter,Single,Female,University Student,None,None
278,57,Berry Hollow,Gregory,Brookes,15,Son,NA,Male,Student,None,NA
279,57,Berry Hollow,Glenn,Brookes,12,Son,NA,Male,Student,None,NA
280,58,Berry Hollow,Gail,Smith,33,Head,Married,Female,Outdoor activities/education manager,None,Christian
281,58,Berry Hollow,Wayne,Smith,37,Husband,Married,Male,Advice worker,None,Christian
282,58,Berry Hollow,Charlie,Smith,5,Son,NA,Male,Student,None,NA
283,58,Berry Hollow,Nicola,Smith,4,Daughter,NA,Female,Child,None,NA
284,59,Berry Hollow,Jeffrey,Hall,21,Head,Single,Male,University Student,None,None
285,59,Berry Hollow,Rachael,Singh,19,None,Single,Female,University Student,None,None
286,59,Berry Hollow,Declan,Walters,19,None,Single,Male,University Student,None,Catholic
287,59,Berry Hollow,Keith,Barker,22,None,Single,Male,University Student,None,None
288,59,Berry Hollow,Darren,Watson,21,None,Single,Male,University Student,None,None
289,59,Berry Hollow,Martyn,Harrison,28,None,Single,Male,PhD Student,None,Catholic
290,60,Berry Hollow,Helen,Warren,56,Head,Married,Female,Unemployed,None,None
291,60,Berry Hollow,Roger,Warren,61,Husband,Married,Male,Outdoor activities/education manager,None,None
292,60,Berry Hollow,Georgia,Warren,28,Daughter,Single,Female,Unemployed,None,None
293,60,Berry Hollow,Mohammad,Warren,23,Son,Single,Male,"Designer, interior/spatial",None,Christian
294,61,Berry Hollow,Hollie,Wilkinson,43,Head,Single,Female,Marketing executive,None,Methodist
295,61,Berry Hollow,Roger,Knowles,46,Partner,Single,Male,"Engineer, petroleum",None,Methodist
296,61,Berry Hollow,Allan,Wilkinson,24,Son,Single,Male,Public house manager,None,None
297,61,Berry Hollow,Danny,Wilkinson,9,Son,NA,Male,Student,None,NA
298,62,Berry Hollow,Jessica,Fletcher,35,Head,Married,Female,"Scientist, research (physical sciences)",None,Christian
299,62,Berry Hollow,Charlie,Fletcher,40,Husband,Married,Male,"Psychologist, counselling",None,Christian
300,62,Berry Hollow,Beverley,Fletcher,17,Daughter,NA,Female,Student,None,NA
301,62,Berry Hollow,Cheryl,Fletcher,13,Daughter,NA,Female,Student,None,NA
302,62,Berry Hollow,Frederick,Fletcher,12,Son,NA,Male,Student,None,NA
303,62,Berry Hollow,Annette,Fletcher,8,Daughter,NA,Female,Student,None,NA
304,62,Berry Hollow,Beverley,Fletcher,5,Daughter,NA,Female,Student,None,NA
305,63,Berry Hollow,Elaine,Warren,30,Head,Married,Female,Unemployed,None,Muslim
